"model","Variable","n_total","n_pos_contr","freq_pos_contr","median_rank","freq_top10","mean_importance","sd_importance","median_importance","se","ci_lower","ci_upper"
"RF","Wheezing",100,26,0.26,72.5,0.01,-0.00591568170426065,0.00960944318729212,-0.00486215538847119,0.000960944318729212,-0.00782240371101381,-0.00400895969750749
"RF","Less_energy_to_do_things",100,33,0.33,73,0.05,-0.00614686842105264,0.0124387650324377,-0.00627368421052631,0.00124387650324377,-0.00861498926446895,-0.00367874757763632
"RLR","Loss_of_appetite",100,94,0.94,1,0.94,0.0777405776942356,0.0551759684070558,0.073421052631579,0.00551759684070558,0.0667924685108879,0.0886886868775833
"RLR","Gasp_for_air",100,68,0.68,3,0.68,0.0280053421052632,0.0336622607811221,0.02365,0.00336622607811221,0.0213260192582006,0.0346846649523257
"RLR","Thickness_in_throat",100,77,0.77,3,0.77,0.0274816779448622,0.0305360689039099,0.0277697368421052,0.00305360689039099,0.0214226593894673,0.033540696500257
"RLR","Back_pain",100,78,0.78,4,0.78,0.0249557644110276,0.0325504008862807,0.0225375939849624,0.00325504008862807,0.0184970586890784,0.0314144701329767
"RLR","Irritating_cough",100,72,0.72,4,0.72,0.0181724761904762,0.0314303345268706,0.0158771929824561,0.00314303345268706,0.0119360159342513,0.0244089364467011
"RLR","Lost_sense_of_smell",100,65,0.65,5,0.65,0.0165229887218045,0.0189428070695932,0.0152794486215539,0.00189428070695932,0.0127643248319927,0.0202816526116163
"RLR","Thick_consistency",100,61,0.61,7,0.56,0.00455089097744361,0.00830919138824257,0.00182330827067668,0.000830919138824257,0.00290216713679093,0.00619961481809629
"RLR","Legs_do_not_support",100,43,0.43,8,0.41,0.00433344862155387,0.0138214871450715,0,0.00138214871450715,0.00159096571261541,0.00707593153049234
"RLR","Lumps_pieces_in_sputum",100,46,0.46,8,0.45,0.00351067543859649,0.007748605974692,0,0.000774860597469201,0.00197318390598172,0.00504816697121126
"RLR","Thin_mucus",100,4,0.04,9,0.04,0.000150545112781954,0.00264805820448087,0,0.000264805820448087,-0.000374887085029889,0.000675977310593797
"RLR","Feeling_that_something_is_wrong",100,1,0.01,9,0.01,8.94736842105267e-05,0.000894736842105266,0,8.94736842105265e-05,-8.80615167208901e-05,0.000267008885141943
"RLR","Difficulty_suppressing_the_cough",100,1,0.01,9,0.01,1.80451127819472e-06,9.48964384112513e-05,0,9.48964384112513e-06,-1.70250008958834e-05,2.06340234522729e-05
"RLR","Barking_cough",100,0,0,9,0,0,0,0,0,0,0
"RLR","Became_weaker",100,0,0,9,0,0,0,0,0,0,0
"RLR","Blood_mixed_phlegm_expectorates",100,0,0,9,0,0,0,0,0,0,0
"RLR","Breathing_sound_hissed",100,0,0,9,0,0,0,0,0,0,0
"RLR","Breathing_sound_jarred_raspy",100,0,0,9,0,0,0,0,0,0,0
"RLR","Breathing_sound_squeaked_as_if_through_a_pipe",100,0,0,9,0,0,0,0,0,0,0
"RLR","Changes_hard_to_describe",100,0,0,9,0,0,0,0,0,0,0
"RLR","Changes_pitch_higher_lower",100,0,0,9,0,0,0,0,0,0,0
"RLR","Day_sweats_more_than_usual",100,0,0,9,0,0,0,0,0,0,0
"RLR","Did_not_feel_well_rested",100,0,0,9,0,0,0,0,0,0,0
"RLR","Difficulty_to_stay_awake",100,0,0,9,0,0,0,0,0,0,0
"RLR","Discomfort_sensation",100,0,0,9,0,0,0,0,0,0,0
